,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
136,Sam Merrill,CLE,28,10,4,6,12.5,3.3,1,2.9,34.5,1,2.7,37,0.3,0.3,100,0.2,1,1.2,0.9,0,0,0,0.9,6.1,0,0,-1.1
137,Mason Plumlee,LAC,34,6,2,4,11,3.2,1.2,3,38.9,0,0,0,0.8,1.3,62.5,1.2,2.2,3.3,0.7,0.3,0.5,0.3,2.2,10.3,0,0,-1.7
138,Anthony Black,ORL,20,2,2,0,5.4,3,1.5,3.5,42.9,0,1,0,0,0,0,0.5,0.5,1,1,0.5,0.5,0,0.5,6.7,0,0,-4
138,Chuma Okeke,ORL,25,2,2,0,4.9,3,1,1.5,66.7,0.5,1,50,0.5,0.5,100,0,0,0,0.5,0,0,0,0,3.8,0,0,-4
138,Daniel Theis,LAC,32,1,0,1,4.4,3,1,1,100,1,1,100,0,0,0,0,1,1,0,0,0,0,0,4.2,0,0,2
138,Luke Kornet,BOS,28,13,11,2,10.2,3,1.1,1.6,66.7,0,0,0,0.8,1,84.6,1.5,1.7,3.2,0.5,0.5,0.1,0.4,0.8,8.5,0,0,-1.3
138,Markieff Morris,DAL,34,1,1,0,12,3,1,5,20,1,3,33.3,0,0,0,0,4,4,0,1,0,0,1,6.8,0,0,6
138,Spencer Dinwiddie,LAL,31,5,1,4,14.6,3,1,2.8,35.7,0.4,1.6,25,0.6,1.2,50,0.2,1.2,1.4,1.6,0.2,0.4,0.2,1.4,8.7,0,0,-3.8
144,Justin Holiday,DEN,35,12,7,5,12.5,2.9,0.9,2.9,31.4,0.9,2.4,37.9,0.2,0.3,50,0.1,1.6,1.7,0.3,0.3,0.5,0,1.3,6.7,0,0,2
145,AJ Green,MIL,24,6,2,4,11.2,2.8,1,2.7,37.5,0.3,1.8,18.2,0.5,0.5,100,0,1.5,1.5,0.3,0.2,0,0,1.5,5,0,0,-0.3
145,Amir Coffey,LAC,27,6,2,4,18.7,2.8,1.2,3.7,31.8,0.5,1.8,27.3,0,0,0,0.3,1.3,1.7,0.3,0.8,0.3,0.2,1,6,0,0,-6.2
145,Mitchell Robinson,NYK,26,6,4,2,19.1,2.8,1.2,2.3,50,0,0,0,0.5,1.3,37.5,3.8,3,6.8,0.5,0.5,1,1.2,2.5,17.8,0,0,5
148,Georges Niang,CLE,31,10,4,6,12.1,2.8,0.9,4.1,22,0.3,2.3,13,0.7,0.8,87.5,0.3,0.9,1.2,0.4,0.7,0.4,0.2,1.8,5.9,0,0,-2.4
149,Duncan Robinson,MIA,30,5,1,4,11.9,2.6,1,3.2,31.3,0.6,2.6,23.1,0,0,0,0,1,1,1.2,1,0.4,0,1.2,5.8,0,0,-9.2
150,Jett Howard,ORL,20,2,2,0,4.9,2.5,1,1.5,66.7,0.5,0.5,100,0,0,0,0,0.5,0.5,0.5,1,0,0,0.5,2.9,0,0,-4
151,Andre Jackson Jr.,MIL,22,5,1,4,11.9,2.4,1,2.2,45.5,0.4,1.2,33.3,0,0,0,1,1.2,2.2,2,0.6,1,0.2,2,11,0,0,2.2
152,Julian Strawther,DEN,22,3,1,2,5.3,2.3,0.7,2,33.3,0.3,1.3,25,0.7,1.3,50,0,0.7,0.7,0,0.3,0.3,0,1,3.8,0,0,-4
152,Monté Morris,MIN,29,9,6,3,7.4,2.3,1,3.3,30,0.1,1.6,7.1,0.2,0.2,100,0.1,0.6,0.7,1,0,0.2,0.1,0.7,5.6,0,0,0.2
154,Jae Crowder,MIL,33,4,1,3,10.5,2.3,0.8,3,25,0.3,1.8,14.3,0.5,0.5,100,0.5,1,1.5,0.5,0,0,0.5,1,6.3,0,0,-6.3
155,Danté Exum,DAL,28,21,12,9,6.8,2,0.8,2.1,36.4,0.3,1,35,0.2,0.3,66.7,0.1,0.7,0.8,0.6,0.2,0.1,0,0.4,4.2,0,0,-0.7
156,DaQuan Jeffries,NYK,26,4,1,3,5,2,0.8,2,37.5,0.5,1.3,40,0,0,0,0.3,0.8,1,0,0,0.3,0,0.5,4,0,0,3.3
156,DeAndre Jordan,DEN,35,2,1,1,6.5,2,0.5,1,50,0,0,0,1,1,100,0.5,1,1.5,0,0,0.5,0.5,2,6.8,0,0,-10
156,Jeremiah Robinson-Earl,NOP,23,1,0,1,5.3,2,1,2,50,0,0,0,0,2,0,1,0,1,1,0,0,0,0,4.7,0,0,-1
159,Jalen Smith,IND,24,7,3,4,6,1.9,0.4,1.1,37.5,0.3,0.6,50,0.7,1.1,62.5,1,1,2,0.3,0.6,0.3,0.1,1.1,5.4,0,0,-5.9
160,Kevin Love,MIA,35,5,1,4,6.4,1.8,0.8,1.8,44.4,0.2,0.8,25,0,0,0,0.2,2.6,2.8,0.8,0.4,0,0,0.4,6,0,0,-6.8
160,Peyton Watson,DEN,21,10,6,4,9,1.8,0.6,2.4,25,0.3,1.2,25,0.3,0.6,50,0.2,1.3,1.5,0.4,0.3,0,0.6,0.9,5.7,0,0,-3.4
162,Jose Alvarado,NOP,26,4,0,4,15.4,1.8,0.8,5,15,0.3,3.5,7.1,0,0,0,0,1,1,2.3,1,1.3,0.3,0.8,9.8,0,0,-5.3
162,Nassir Little,PHX,24,4,0,4,3.4,1.8,0.8,1.3,60,0.3,0.8,33.3,0,0,0,0,0.3,0.3,0,0,0,0,0.5,2.1,0,0,-1.5
164,Brandon Boston Jr.,LAC,22,3,0,3,3.2,1.7,0.7,1.3,50,0,0,0,0.3,0.7,50,0.3,0.3,0.7,0.3,0,0,0,0.7,3,0,0,1.7
164,Zeke Nnaji,DEN,23,3,1,2,4.7,1.7,0.7,1,66.7,0,0,0,0.3,0.7,50,0.7,0,0.7,0,0.7,0,0.3,0.3,2.8,0,0,-1.7
166,Oshae Brissett,BOS,26,10,8,2,5.5,1.6,0.6,1.1,54.5,0.2,0.2,100,0.2,0.4,50,0.3,1.1,1.4,0,0.1,0.3,0.2,0.2,4.7,0,0,1
167,Joe Ingles,ORL,36,7,3,4,9.6,1.6,0.6,1.7,33.3,0.3,1,28.6,0.1,0.3,50,0.3,1.6,1.9,1.7,0,0.4,0,0.4,7.7,0,0,2.1
168,Paul Reed,PHI,25,6,2,4,7.2,1.5,0.7,1.5,44.4,0,0,0,0.2,0.3,50,1.5,1.2,2.7,0.3,0.5,0.2,0.5,1.2,6.7,0,0,-7.3
168,Tristan Thompson,CLE,33,10,3,7,8.7,1.5,0.7,1.6,43.8,0,0,0,0.1,0.2,50,1,1,2,1,0.2,0.1,0.5,0.9,7,0,0,-3.2
168,Xavier Tillman,BOS,25,8,6,2,8.6,1.5,0.6,1,62.5,0.1,0.1,100,0.1,0.1,100,0.5,1.3,1.8,0.4,0.4,0.4,0.4,0.9,6,0,0,2.8
171,Gabe Vincent,LAL,28,5,1,4,13.8,1.4,0.6,2.4,25,0.2,1.4,14.3,0,0,0,0.2,1.4,1.6,0.6,0.6,0.4,0,1.6,4.8,0,0,-1.8
171,Jericho Sims,NYK,25,5,1,4,5.5,1.4,0.4,0.4,100,0,0,0,0.6,0.8,75,0.6,1,1.6,0.2,0,0.4,0.2,0.2,5.4,0,0,1.6
173,Dyson Daniels,NOP,21,3,0,3,5.7,1.3,0.7,2,33.3,0,0.7,0,0,0,0,0,0.7,0.7,0,0.3,0.7,0,0,3.8,0,0,-4.3
173,Jalen Pickett,DEN,24,3,1,2,3.6,1.3,0.7,1,66.7,0,0.3,0,0,0,0,0,0.3,0.3,0.3,0,0,0.3,0.3,3.2,0,0,-0.7
173,Neemias Queta,BOS,24,3,1,2,4.5,1.3,0.7,1,66.7,0,0,0,0,0,0,0.3,0.7,1,0,0,0,0.3,0,3.5,0,0,3.7
176,Doug McDermott,IND,32,10,4,6,6.4,1.3,0.5,1.1,45.5,0.3,0.8,37.5,0,0,0,0.2,0.1,0.3,0.7,0.1,0,0.2,0.5,3.2,0,0,-1.9
177,Shake Milton,NYK,27,4,1,3,5.5,1.3,0,1.5,0,0,0.5,0,1.3,1.5,83.3,0,0.3,0.3,0.5,0,0.3,0,0,3.1,0,0,2.8
178,Josh Minott,MIN,21,5,3,2,3.6,1.2,0.4,1.8,22.2,0.4,1,40,0,0,0,0.2,0.8,1,0.6,0,0,0,0.4,3.3,0,0,2.4
179,Wendell Moore Jr.,MIN,22,6,5,1,3.1,1.2,0.5,1.2,42.9,0.2,0.7,25,0,0,0,0,0.3,0.3,0.3,0.2,0.2,0,0.5,2.4,0,0,1.5
180,A.J. Lawson,DAL,23,10,7,3,3,1.1,0.4,0.9,44.4,0.2,0.6,33.3,0.1,0.2,50,0.1,0.2,0.3,0,0,0,0.1,0.1,1.8,0,0,-1.2
181,Caleb Houstan,ORL,21,3,2,1,4.7,1,0.3,0.7,50,0.3,0.7,50,0,0,0,0.3,0.3,0.7,0,0,0,0,0,1.8,0,0,-4.3
181,Chris Livingston,MIL,20,2,0,2,3.1,1,0.5,0.5,100,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,1,0,0,0
