,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
166,Santi Aldama,MEM,23,61,23,38,26.5,10.7,4,9.3,43.5,1.7,5,34.9,0.9,1.4,62.1,1.2,4.6,5.8,2.3,1.1,0.7,0.9,1.5,24.7,5,0,-4.5
167,Jaden McDaniels,MIN,23,72,48,24,29.2,10.5,4.3,8.7,48.9,1.2,3.5,33.7,0.8,1.1,72.2,0.8,2.3,3.1,1.4,1.2,0.9,0.6,3,19.5,0,0,2.2
168,Simone Fontecchio,DET,28,66,29,37,24.9,10.5,3.8,8.3,46,2,5.1,40.1,0.8,1,81.8,1,2.8,3.7,1.5,1,0.7,0.3,1.7,19.3,0,0,-0.4
169,Spencer Dinwiddie,LAL,31,76,38,38,28.3,10.5,3.3,8.4,39.2,1.6,4.8,33.7,2.2,2.8,80.5,0.4,2.3,2.7,4.7,1.2,0.7,0.3,1.8,22.4,4,0,0.9
170,Alec Burks,NYK,32,66,18,48,18.4,10.4,3.2,8.6,36.9,1.9,5,37.6,2.2,2.5,86.8,0.4,1.9,2.3,1.3,0.7,0.4,0.2,1.1,16.3,0,0,-3.9
171,Grant Williams,CHA,25,76,34,42,28,10.3,3.6,8,45.6,1.7,4.4,37.5,1.4,1.8,75.7,1.1,3.1,4.2,2.3,1.4,0.6,0.5,3,20.6,2,0,-3.2
172,Dalano Banton,POR,24,54,24,30,19.4,10.3,3.7,9.3,40.4,1.1,3.7,29.6,1.7,2.2,78.3,0.8,2.5,3.3,2.4,1.4,0.6,0.4,1.2,19.3,2,0,-4.1
173,Obi Toppin,IND,26,82,47,35,21.1,10.3,4,7.1,57.3,1.2,3.1,40.3,0.9,1.2,77,1,2.9,3.9,1.6,0.8,0.6,0.5,1.7,19.8,1,0,1.7
174,T.J. McConnell,IND,32,71,40,31,18.2,10.2,4.6,8.4,55.6,0.3,0.6,40.9,0.7,0.9,79,0.5,2.2,2.7,5.5,1.5,1,0.1,1.1,23.6,4,0,1.3
175,Kevin Huerter,SAC,25,64,37,27,24.4,10.2,3.9,8.8,44.3,1.9,5.3,36.1,0.6,0.7,76.6,0.6,2.9,3.5,2.6,0.8,0.7,0.4,2.1,20.7,2,0,1.2
176,Onyeka Okongwu,ATL,23,55,23,32,25.5,10.2,4.1,6.6,61.1,0.4,1.3,33.3,1.7,2.1,79.3,2.6,4.2,6.8,1.3,0.8,0.5,1.1,2.9,24.3,8,0,-0.6
177,Reggie Jackson,DEN,34,82,57,25,22.2,10.2,4,9.2,43.1,1.2,3.5,35.9,1,1.2,80.6,0.4,1.5,1.9,3.8,1.3,0.5,0.1,1.8,18.8,2,0,1
178,Talen Horton-Tucker,UTA,23,51,14,37,19.8,10.1,3.6,9.1,39.6,1.2,3.6,33,1.7,2.1,80.7,0.4,2,2.4,3.5,1.3,0.9,0.4,1.8,20.7,1,0,-2.1
179,Kentavious Caldwell-Pope,DEN,31,76,54,22,31.6,10.1,3.6,7.7,46,1.6,4.1,40.6,1.3,1.5,89.4,0.4,2,2.4,2.4,1,1.3,0.6,2,21.1,0,0,7.5
